SNR(dB),MCS,Current Samples
2.0,1,181
7.5,2,193
11.5,4,218
7.0,3,237
11.5,3,264
6.5,1,290
6.0,2,311
3.0,1,395
4.0,2,412
6.5,0,414
9.0,3,417
10.5,3,458
12.5,4,495
2.5,0,614
3.0,0,636
4.0,1,741
15.5,4,746
14.5,4,747
5.0,2,762
8.0,4,800
5.0,1,839
8.0,2,860
4.5,0,867
6.5,2,870
7.0,0,952
5.5,2,985
5.5,0,1064
12.0,3,1074
3.5,0,1183
16.0,4,1235
10.5,4,1283
7.0,1,1323
1.0,0,1360
12.0,4,1387
6.5,3,1419
11.0,3,1468
9.0,4,1506
0.5,0,1566
11.0,4,1718
13.5,4,1736
5.0,0,1741
7.5,3,1831
1.5,0,1895
6.0,1,1906
14.0,4,1909
1.0,1,1945
6.0,3,1948
2.0,0,1987
3.5,1,2016
10.0,4,2023
8.0,3,2060
8.5,3,2211
15.0,4,2291
10.0,3,2470
4.5,2,2490
6.0,0,2579
4.0,0,2602
5.5,1,2691
7.0,2,2702
9.5,4,2704
13.0,4,2990
9.5,3,3160
8.5,4,3223
2.5,1,3443
4.5,1,3664
1.5,1,4772
0.5,1,5519
